Unnamed: 0,Company,Date,Tahun_Buku,Link,folder_path,category
24,ALMI,31 Mei 2021 | 13:29,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ALMI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ALMI\2020,General
25,ALTO,31 Mei 2021 | 12:10,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ALTO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ALTO\2020,General
26,AMAG,31 Maret 2021 | 12:49,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMAG/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMAG\2020,Insurance
27,AMAN,20 Mei 2021 | 09:23,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMAN/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMAN\2020,Property
28,AMAR,03 Mei 2021 | 13:24,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMAR/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMAR\2020,Financial and Shariah
29,AMFG,16 April 2021 | 16:16,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMFG/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMFG\2020,General
30,AMIN,30 Juni 2021 | 10:29,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMIN/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMIN\2020,Infrastructure Industry
31,AMOR,03 September 2021 | 08:32,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMOR/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMOR\2020,General - liquidity
32,AMRT,30 Maret 2021 | 12:01,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AMRT/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AMRT\2020,General
33,ANDI,26 April 2021 | 13:21,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ANDI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ANDI\2020,General
