Company,Tanggal,Saham
DGIK,2007-12-19,5541165000.0
DGNS,2021-01-15,1250000000.0
DIGI,2020-11-17,1625000000.0
DILD,2007-08-24,3109756083.0
DILD,1998-01-26,462891300.0
DILD,1998-01-26,925782600.0
DILD,1994-06-24,243627000.0
DILD,1992-09-10,41000000.0
DILD,1992-09-10,162418000.0
DILD,1991-09-04,12000000.0
DIVA,2021-09-02,1428571400.0
DKFT,1997-11-21,26000000.0
DKFT,1997-11-21,65000000.0
DLTA,2015-11-03,800659050.0
DLTA,2000-12-21,16013181.0
DLTA,2000-01-04,3361166.0
DLTA,1994-08-04,2940819.0
DLTA,1993-10-15,2145126.0
DLTA,1993-05-21,700042.0
DLTA,1993-05-21,715042.0
DLTA,1992-08-06,636313.0
DLTA,1988-01-30,583632.0
DLTA,1987-04-14,390807.0
DMAS,2015-05-29,48198111100.0
DMMX,2019-10-21,7692307700.0
DMND,2020-01-22,9468359000.0
DNAR,2023-06-08,16777876732.0
DNAR,2023-06-08,16867292274.0
DNET,2013-06-26,14184000000.0
DOID,2014-07-15,8245228732.0
DPNS,2007-07-27,331129952.0
DPNS,2006-06-08,308293404.0
DPNS,2005-08-04,154146702.0
DPNS,2000-09-08,125945820.0
DPNS,1999-08-10,104954850.0
DPNS,1998-10-27,80734500.0
DPNS,1998-10-12,69201000.0
DPNS,1994-10-10,34600500.0
DPNS,1991-12-12,25164000.0
DPNS,1991-09-10,12000000.0
DPUM,2015-12-08,4175000000.0
DSFI,2002-09-10,1857135500.0
DSFI,2002-07-24,1819147750.0
DSFI,2001-01-22,178116000.0
DSFI,2001-01-22,890580000.0
DSFI,2000-03-24,50000000.0
DSFI,2000-03-24,175000000.0
DSNG,2015-10-19,10598500000.0
DSSA,2009-12-10,770552320.0
DUTI,1997-04-15,1387500000.0
DUTI,1997-02-24,693750000.0
DUTI,1996-08-22,346875000.0
DUTI,1995-08-04,277500000.0
DUTI,1994-11-02,25000000.0
DUTI,1994-11-02,225000000.0
DVLA,1998-07-03,560000000.0
DVLA,1998-07-03,995000000.0
DVLA,1996-05-03,140000000.0
DVLA,1995-10-26,125000000.0
DVLA,1995-10-12,62500000.0
DVLA,1994-11-21,31250000.0
DVLA,1994-11-11,30670000.0
DVLA,1994-11-11,10000000.0
DWGL,2022-12-14,9252820991.0
DYAN,2013-03-25,4272964279.0
EAST,2022-07-12,4126405336.0
ECII,2013-07-03,1334333000.0
EDGE,2021-02-08,404050000.0
EKAD,2022-08-22,3493875000.0
ELSA,2008-02-06,7298500000.0
EMDE,2011-01-12,3350000000.0
EMTK,2021-12-29,61241751483.0
ENRG,2015-07-27,49106783762.0
ENVY,2019-07-08,1800000000.0
ENZO,2023-08-29,2162547122.0
EPAC,2020-07-01,3303400000.0
EPMT,2011-03-02,2708640000.0
EPMT,2003-12-01,2280000000.0
EPMT,1999-09-13,456000000.0
EPMT,1997-09-29,228000000.0
EPMT,1995-07-06,114000000.0
EPMT,1994-08-01,60000000.0
ERAA,2021-03-31,15950000000.0
ERTX,2016-06-29,1286539792.0
ERTX,2000-11-23,98236000.0
ERTX,1997-11-24,49118000.0
ERTX,1994-06-10,24559000.0
ERTX,1991-12-11,12279500.0
ERTX,1990-08-21,6139750.0
ESIP,2023-08-18,1109943081.0
ESSA,2023-02-17,17226975700.0
ESTA,2023-07-12,2425354179.0
ESTI,2000-12-11,2011558720.0
ESTI,2000-11-03,272887744.0
ESTI,2000-07-12,253695280.0
ESTI,1996-10-23,126227440.0
ESTI,1994-06-10,58096000.0
ESTI,1992-10-13,4000000.0
ESTI,1992-10-13,34000000.0
ETWA,2021-12-23,4668671400.0
EXCL,2023-01-02,13128430665.0
FAPA,2021-01-04,3629411800.0
FAST,2020-02-12,3990277158.0
FASW,2000-03-29,2477888787.0
FASW,1999-09-20,675787851.0
FASW,1999-09-02,450525234.0
FASW,1995-11-03,225262617.0
FASW,1995-09-12,224647029.0
FASW,1994-12-19,47000000.0
FASW,1994-12-19,222000000.0
FILM,2018-08-07,9511217000.0
FIRE,2020-01-13,1475363179.0
FISH,2002-01-18,80000000.0
FISH,2002-01-18,480000000.0
FITT,2022-06-21,726130199.0
FMII,2023-07-28,3120999633.0
FOOD,2019-01-08,650000000.0
FORU,2005-01-17,465224000.0
FORU,2002-08-16,260224000.0
FORU,2002-08-16,260224000.0
FORU,2002-01-19,260224000.0
FORU,2002-01-17,10224000.0
FORU,2002-01-14,10224000.0
FPNI,2008-01-29,5566414000.0
FPNI,2002-03-21,410200000.0
FPNI,2002-03-21,67000000.0
FREN,2023-09-01,335388079593.0
FUJI,2019-07-09,1105000000.0
GAMA,2012-07-11,10005000000.0
GDST,2018-10-08,9242500000.0
GDYR,2015-07-14,410000000.0
GEMA,2018-07-13,1600000000.0
GEMS,2011-11-17,5882353000.0
GGRM,1996-06-04,1924088000.0
GGRM,1996-06-03,962044000.0
GGRM,1994-05-31,481022000.0
GGRM,1990-08-27,57807800.0
GGRM,1990-08-27,96204400.0
GGRP,2019-09-19,12111376157.0
GHON,2018-04-09,550000000.0
GIAA,2022-12-28,91480783837.0
GJTL,1997-10-20,3168000000.0
GJTL,1996-10-14,1584000000.0
GJTL,1995-09-11,792000000.0
GJTL,1994-02-11,396000000.0
GJTL,1993-02-02,198000000.0
GJTL,1991-07-29,110000000.0
GJTL,1990-11-27,100000000.0
GJTL,1990-05-25,25000000.0
GJTL,1990-05-08,20000000.0
GLOB,2012-07-10,1111112000.0
GLVA,2019-12-23,1500000000.0
GMFI,2017-10-10,28233511500.0
GMTD,2000-12-11,35538000.0
GMTD,2000-12-11,101538000.0
GOLD,2019-07-18,1277276000.0
GOLL,2014-12-23,3665000000.0
GOOD,2021-07-09,36897901455.0
GPRA,2007-10-10,3207489870.0
GSMF,2021-12-24,14230399705.0
GTBO,2009-07-09,2500000000.0
GWSA,2011-12-23,7800760000.0
GZCO,2008-05-15,5000000000.0
HDFA,2015-07-30,2329668917.0
HDIT,2019-07-12,1524680000.0
HEAL,2023-02-16,14967599095.0
HELI,2021-03-31,832862387.0
HERO,2001-09-05,329420000.0
HERO,1997-01-27,235300000.0
HERO,1996-04-15,221300000.0
HERO,1994-01-27,110650000.0
HERO,1992-09-10,51825000.0
HERO,1990-07-18,22412500.0
HERO,1990-04-09,4765000.0
HERO,1989-08-21,1765000.0
HEXA,2005-09-01,840000000.0
HEXA,2002-07-29,168000000.0
HEXA,1998-07-10,84000000.0
HEXA,1995-02-13,42000000.0
HITS,2013-12-27,4769532710.0
HKMU,2018-10-09,3221750000.0
HMSP,2015-10-29,4647310686.0
HOKI,2021-02-18,9677752680.0
HOMI,2022-06-20,1575000000.0
HOTL,2017-12-20,3550001452.0
HRME,2019-04-12,5958750000.0
HRTA,2017-06-21,4605262400.0
HRUM,2022-06-02,13518100000.0
IATA,2023-08-30,25238245190.0
IBFN,2014-12-22,3173720000.0
IBST,2014-05-23,1350904927.0
ICBP,2016-07-27,11661908000.0
ICBP,2010-10-07,5830954000.0
ICON,2014-02-17,1089750000.0
IDPR,2015-12-10,2003000000.0
IFII,2019-12-10,9412000000.0
IFSH,2019-12-05,2125000000.0
IGAR,1995-08-16,1050000000.0
IGAR,1995-07-14,52500000.0
IGAR,1993-12-03,17500000.0
IGAR,1993-09-06,15750000.0
IGAR,1992-05-26,8750000.0
IGAR,1990-11-05,1750000.0
IGAR,1990-11-05,3500000.0
IIKP,2017-05-19,33280000000.0
IKAI,2019-11-28,13305799387.0
IKAN,2020-02-12,833333000.0
IKBI,2016-09-21,1224000000.0
IKBI,1998-04-23,306000000.0
IKBI,1993-09-08,36000000.0
IKBI,1992-09-01,22500000.0
IKBI,1991-01-21,3500000.0
IKBI,1991-01-21,5000000.0
IMAS,2020-08-18,3994291039.0
IMJS,2013-12-10,4325000000.0
IMPC,2023-07-07,54268500000.0
INAF,2002-08-26,3099267500.0
INAF,2001-04-17,596875001.0
INAF,2001-04-17,3096875000.0
INAI,2014-02-12,316800000.0
INCF,2016-09-06,1438370465.0
INCF,1998-06-15,33600000.0
INCF,1996-02-05,22400000.0
INCF,1990-07-27,11200000.0
INCF,1989-12-18,1200000.0
INCI,2023-07-27,207656617.0
INCO,2004-08-03,993633872.0
INCO,1990-05-16,248408468.0
INDF,2007-09-29,9444189000.0
INDF,2004-05-24,9444189000.0
INDF,2004-05-10,9443308500.0
INDF,2004-04-28,9443307500.0
INDF,2004-04-22,9443306500.0
INDF,2004-02-09,9443304500.0
INDF,2004-02-06,9443295500.0
INDF,2003-07-12,9443269500.0
INDF,2003-05-21,9386168500.0
INDF,2003-05-20,9385088500.0
INDO,2022-12-07,4382841253.0
INDR,1996-12-09,657914047.0
INDR,1995-10-16,501649684.0
INDR,1995-06-08,353714702.0
INDR,1995-02-20,328803189.0
INDR,1993-06-10,24421637.0
INDR,1990-08-03,7000000.0
INDS,2013-07-30,525000000.0
INDX,2013-07-29,437913588.0
INDY,2008-06-11,5207142000.0
INKP,2001-04-30,5466649816.0
INKP,2000-10-22,4998349514.0
INKP,1997-09-03,2630478104.0
INKP,1997-09-03,4342775986.0
INKP,1997-07-11,2553532529.0
INKP,1996-10-03,1099700148.0
INKP,1996-10-03,1183780497.0
INKP,1996-10-03,1278306149.0
INKP,1996-04-15,952140384.0
INKP,1995-12-14,760845676.0
INOV,2019-07-10,1808221900.0
INPC,2021-12-22,20021178779.0
INPP,2015-07-23,11181971732.0
INPS,2018-04-06,650000000.0
INRU,1994-01-01,422076768.0
INRU,1991-06-10,405000000.0
INRU,1990-06-18,270000000.0
INTA,2020-06-12,3343935022.0
INTD,2017-06-14,591828000.0
INTP,2003-05-12,3681231699.0
INTP,2001-04-24,3681223519.0
INTP,2001-01-09,2484316447.0
INTP,1996-09-02,2414453320.0
INTP,1994-11-10,1207226660.0
INTP,1994-09-12,697264531.0
INTP,1994-09-12,1199367262.0
INTP,1994-09-02,97474511.0
INTP,1994-08-12,97265663.0
INTP,1994-05-30,97253049.0
IPCC,2018-07-09,1818384820.0
IPCM,2017-12-22,5284811100.0
IPOL,2010-07-09,6440500780.0
IPTV,2021-07-13,42197950841.0
IRRA,2019-10-15,1600000000.0
ISAT,2022-01-05,8062702740.0
ISSP,2013-02-22,7185992035.0
ITIC,2019-07-04,940720000.0
ITMA,2022-10-14,999053167.0
ITMG,2007-12-18,1129925000.0
JAST,2023-08-16,1082575543.0
JAWA,2011-05-30,3774685500.0
JAYA,2023-08-24,795638304.0
JECC,1997-09-15,151200000.0
JECC,1994-08-16,75600000.0
JECC,1992-11-18,10000000.0
JECC,1992-11-18,42000000.0
JGLE,2016-06-29,22581909405.0
JKON,2013-07-22,3261703972.0
JPFA,2018-06-20,11726575201.0
JRPT,2013-08-01,13750000000.0
JSKY,2019-08-16,2032540000.0
JSMR,2016-12-16,7257871200.0
JSMR,2007-11-12,2040000000.0
JSPT,2002-12-11,2318736000.0
JSPT,1998-01-12,50000000.0
JSPT,1998-01-12,536000000.0
JTPE,2022-07-28,6852050000.0
KAEF,2023-08-21,5562385995.0
KARW,2001-07-27,587152700.0
KARW,1997-06-05,585000000.0
KARW,1996-08-19,130000000.0
KARW,1996-08-19,195000000.0
KARW,1994-12-20,20000000.0
KARW,1994-12-20,65000000.0
KAYU,2019-07-04,665000000.0
KBAG,2023-04-12,7150002603.0
KBLI,2007-01-01,4007235107.0
KBLI,2003-01-02,3075000000.0
KBLI,1997-12-12,560000000.0
KBLI,1997-06-07,280000000.0
KBLI,1994-06-16,140000000.0
KBLI,1993-09-27,70000000.0
KBLI,1993-07-06,10000000.0
KBLI,1993-07-06,50000000.0
KBLM,1995-07-07,56000000.0
KBLM,1995-07-07,1120000000.0
KBLM,1995-05-08,28000000.0
KBLM,1992-06-01,14000000.0
KBLM,1992-06-01,3100000.0
KBLV,2000-02-25,20000000.0
KDSI,2000-07-10,301000000.0
KDSI,1996-07-29,50000000.0
KDSI,1996-07-29,150500000.0
KEEN,2019-09-02,3666312500.0
KEJU,2019-11-25,1500000000.0
KIAS,2008-07-12,8425000000.0
KIAS,1997-07-09,425000000.0
KIAS,1997-02-24,170000000.0
KIAS,1994-12-08,25000000.0
KIAS,1994-12-08,85000000.0
KICI,2016-08-23,276000000.0
KICI,1995-12-16,138000000.0
KICI,1995-07-21,69000000.0
KICI,1993-10-28,10000000.0
KICI,1993-10-28,50000000.0
KIJA,2015-08-10,20662178685.0
KINO,2015-12-11,1428571500.0
KIOS,2023-08-11,1075862411.0
KJEN,2019-07-01,500000000.0
KKGI,2017-03-27,5000000000.0
KKGI,1999-09-28,250000000.0
KKGI,1997-06-02,100000000.0
KKGI,1994-10-31,50000000.0
KKGI,1992-01-28,25000000.0
KKGI,1991-07-01,4500000.0
KKGI,1991-07-01,9000000.0
KLBF,2005-12-21,10156014422.0
KLBF,2004-01-02,8121600000.0
KLBF,2000-12-06,4060800000.0
KLBF,1999-09-27,2160000000.0
KLBF,1996-10-07,432000000.0
KLBF,1994-07-18,183600000.0
KLBF,1994-07-18,216000000.0
KLBF,1993-06-25,108000000.0
KLBF,1992-04-29,50000000.0
KLBF,1992-04-29,100000000.0
KMDS,2020-09-07,800000000.0
KMTR,2019-02-12,8215366379.0
KOBX,2012-07-05,2272500000.0
KOIN,2008-04-09,1100000000.0
KONI,2021-12-03,312000000.0
KOPI,2015-05-04,697266668.0
KOTA,2021-03-31,10546185701.0
KPAS,2021-10-04,768043253.0
KPIG,2022-06-06,88688299330.0
KRAS,2016-12-08,19346396900.0
KRAS,2010-11-10,15775000000.0
KREN,2016-06-23,18208470100.0
KREN,2005-02-05,365219000.0
KREN,2002-06-28,100000000.0
KREN,2002-06-28,365000000.0
LAND,2018-08-23,2792620000.0
LCGP,2014-10-09,5630000009.0
LCKM,2018-01-16,1000000000.0
LEAD,2015-05-19,2577028572.0
LFLO,2022-04-07,1303534163.0
LIFE,2019-09-26,2100000000.0
LINK,2014-06-02,3042649384.0
LION,2015-09-02,520160000.0
LMAS,2005-05-27,790581075.0
LMAS,2004-12-30,775963955.0
