Company,Tahun_Buku,Tanggal Rilis,kas,jumlah_aset_lancar,persediaan,piutang,jumlah_aset_tidak_lancar,jumlah_aset,jumlah_liabilitas_jangka_pendek,jumlah_liabilitas_jangka_panjang,jumlah_ekuitas,jumlah_liabilitas,pendapatan,cogs,laba_bruto,laba_rugi,laba_rugi_komprehensif,EPS,category,7D_Avg
BBCA,2020,2021-02-09 17:16:00,24322335.0,791384646.0,1856202.0,605216069.0,37709924.0,1075570256.0,856555100.0,27186453.0,184714709.0,885537919.0,65412308.0,-24220151.0,33568507.0,27147109.0,31036451.0,1100.0,Financial and Shariah,6503.544573102678
BBHI,2020,2021-03-31 15:39:00,14025339750.0,1382165317044.0,,1293499016761.0,242785025159.0,2586663487991.0,1495622106493.0,24401830814.0,347066458180.0,2239597029811.0,162318352226.0,-154705140943.0,45826728419.0,37011391337.0,47300580532.0,8.845022012600399,Financial and Shariah,1167.142857142857
BBKP,2020,2021-05-02 12:40:00,600087.0,67589896.0,3017346.0,61034756.0,8866013.0,79938578.0,62339833.0,1476703.0,8466442.0,71472136.0,5193284.0,-6165632.0,-3922869.0,-3258109.0,-3041791.0,-99.6501689001767,Financial and Shariah,459.14285714285717
BBLD,2020,2021-04-29 14:14:00,417904.0,502867.0,,2688208.0,94809.0,4115895.0,120450.0,10864.0,1208656.0,2907239.0,677671.0,-524344.0,27212.0,20053.0,11946.0,12.18,Finance Industry,464.45023454938615
BBMD,2020,2021-04-21 14:21:00,222586426589.0,7723294324641.0,,7201221761758.0,602916562282.0,14159755232533.0,9943605555249.0,130378317080.0,4009262625539.0,10150492606994.0,1155366305955.0,-463499670181.0,419976181196.0,325932118524.0,624190222146.0,80.0,Financial and Shariah,1300.9835902622767
BBNI,2020,2021-02-03 10:04:00,17324047.0,723235031.0,29946816.0,607705889.0,41120211.0,891337425.0,716485585.0,24624753.0,112872199.0,746235663.0,64161357.0,-41264169.0,5112153.0,3321442.0,4192722.0,175.0,Financial and Shariah,5844.86669921875
BBRI,2020,2021-02-09 18:35:00,32161564.0,1332866313.0,327615655.0,955031178.0,59381116.0,1511804628.0,1189106730.0,30449500.0,199911376.0,1278346276.0,131639108.0,-60319504.0,26724846.0,18660393.0,21757779.0,152.0,Financial and Shariah,4128.74103655134
BBRM,2020,2021-04-21 11:08:00,4283393.0,7979414.0,45137.0,3613508.0,29233944.0,37213358.0,22510950.0,7511418.0,7190990.0,30022368.0,11348417.0,-13520672.0,-11036834.0,-11172452.0,-11043613.0,-0.001104,Infrastructure Industry,67.77452087402344
BBSI,2020,2021-03-31 14:26:00,17010044570.0,1065539562122.0,,910598419813.0,183580463990.0,1441234275187.0,422595116574.0,9108049928.0,1008982591153.0,432251684034.0,93943474577.0,-36960864387.0,45116026336.0,35175588135.0,35220368009.0,15.0,Financial and Shariah,2270.0
BBSS,2020,2021-05-31 18:21:00,727017000.0,100851588228.0,77753213969.0,22371357259.0,155168879044.0,256020467272.0,4286132239.0,82472431.0,251651862602.0,4368604670.0,3432000000.0,-2079899625.0,-394678724.0,-512878724.0,-487903924.0,-0.107,Property,52.57142857142857
BBTN,2020,2021-02-16 17:08:00,1429426.0,264046239.0,3205966.0,252617677.0,15098929.0,361208406.0,282721499.0,6242276.0,19987845.0,321376142.0,25381318.0,-19462540.0,2270857.0,1602358.0,2352711.0,151.0,Financial and Shariah,1850.7952880859375
BBYB,2020,2021-03-09 23:49:00,25728367191.0,4272079005897.0,253230368200.0,3665338771925.0,488719582885.0,5421324398438.0,4284970963751.0,5084408409.0,1120619280316.0,4300705118122.0,438822703914.0,-473894295018.0,15827358645.0,15871502695.0,29178695729.0,2.7,Financial and Shariah,595.4560110909598
BCAP,2020,2021-06-01 00:09:00,1758171.0,2382910.0,1658577.0,7356714.0,971252.0,19101546.0,52315.0,77035.0,5093834.0,14007712.0,2657232.0,-1954864.0,84614.0,65525.0,63228.0,1.57,General - liquidity,176.71428571428572
BCIC,2020,2021-04-23 15:10:00,118962.0,15377141.0,1915516.0,7140706.0,604492.0,16204908.0,14402674.0,22823.0,1443230.0,14761678.0,989278.0,-1277304.0,-581431.0,-484441.0,-484823.0,5e-05,Financial and Shariah,700.0
BCIP,2020,2021-05-31 14:18:00,8560886381.0,395767984973.0,344705425252.0,34924447723.0,513496477690.0,909264462663.0,308300895925.0,154371558000.0,446592008738.0,462672453925.0,73155228143.0,-37845260341.0,14608034596.0,12990816748.0,12974015840.0,7.92,Property,63.57142857142857
BDMN,2020,2021-02-19 10:50:00,2838127.0,130545879.0,4701111.0,135506077.0,6032901.0,200890068.0,144975316.0,8052497.0,43575499.0,157314569.0,19944408.0,-8770061.0,2067076.0,1088942.0,1382263.0,103.1,Financial and Shariah,2948.192557198661
BEBS,2020,2021-04-06 11:39:00,234744580.0,47682156898.0,21434960516.0,26012451802.0,359316784827.0,406998941725.0,22205495158.0,4928732951.0,379864713616.0,27134228109.0,110697288392.0,-76223820929.0,26463041929.0,20790651299.0,20770624516.0,63.0,General,100.57356807163784
BEEF,2020,2021-05-31 21:30:00,7322645382.0,193116898568.0,37618018990.0,120362758375.0,484686987847.0,677803886415.0,641957524586.0,28597152308.0,7249209521.0,670554676894.0,728034316374.0,-58400450489.0,-433575396176.0,-350736124757.0,-350226478380.0,-186.0,General,108.14285714285714
BEKS,2020,2021-05-31 15:05:00,35545.0,4509862.0,617099.0,3878322.0,738916.0,5337281.0,3481312.0,58004.0,1361581.0,3975700.0,372209.0,-514100.0,-260720.0,-308158.0,-308970.0,-33.64,Financial and Shariah,94.14285714285714
BELL,2020,2021-04-20 15:03:00,53141350063.33,356315769740.33,202024373975.0,87888589480.0,197920161371.0,554235931111.0,260049224077.0,37659353069.0,256527353965.0,297708577146.0,538299250841.0,-411576072447.0,-14071086133.0,-16558668514.0,-16117796779.0,-2.2112321555862153,General,144.31456865583147
BESS,2020,2021-05-28 18:20:00,44586893073.0,99934687098.0,,55347794025.0,520472846236.0,620407533334.0,105590771015.0,197920763858.0,316895998461.0,303511534873.0,295532059811.0,-195281541071.0,54741228792.0,51194844074.0,50400663628.0,22.93,General,327.14285714285717
BEST,2020,2021-03-30 19:33:00,799043722652.0,2722827270198.0,1577388250740.0,53382081627.0,3559352959534.0,6282180229732.0,258669858995.0,1666853267086.0,4356657103651.0,1925523126081.0,242320700845.0,-114885453491.0,-109402417232.0,-115219635076.0,-112092181624.0,-11.94,Property,151.57142857142858
