Company,Tanggal,Saham
DVLA,26 Okt 1995,125.000.000
DVLA,12 Okt 1995,62.500.000
DVLA,21 Nov 1994,31.250.000
DVLA,11 Nov 1994,30.670.000
DVLA,11 Nov 1994,10.000.000
DWGL,14 Des 2022,9.252.820.991
DYAN,25 Mar 2013,4.272.964.279
EAST,12 Jul 2022,4.126.405.336
ECII,03 Jul 2013,1.334.333.000
EDGE,08 Feb 2021,404.050.000
EKAD,22 Agt 2022,3.493.875.000
ELSA,06 Feb 2008,7.298.500.000
ELTY,Tidak ada data,Tidak ada data
EMDE,12 Jan 2011,3.350.000.000
EMTK,29 Des 2021,61.241.751.483
ENRG,27 Jul 2015,49.106.783.762
ENVY,08 Jul 2019,1.800.000.000
ENZO,29 Agt 2023,2.162.547.122
EPAC,01 Jul 2020,3.303.400.000
EPMT,02 Mar 2011,2.708.640.000
EPMT,01 Des 2003,2.280.000.000
EPMT,13 Sep 1999,456.000.000
EPMT,29 Sep 1997,228.000.000
EPMT,06 Jul 1995,114.000.000
EPMT,01 Agt 1994,60.000.000
ERAA,31 Mar 2021,15.950.000.000
ERTX,29 Jun 2016,1.286.539.792
ERTX,23 Nov 2000,98.236.000
ERTX,24 Nov 1997,49.118.000
ERTX,10 Jun 1994,24.559.000
ERTX,11 Des 1991,12.279.500
ERTX,21 Agt 1990,6.139.750
ESIP,18 Agt 2023,1.109.943.081
ESSA,17 Feb 2023,17.226.975.700
ESTA,12 Jul 2023,2.425.354.179
ESTI,11 Des 2000,2.011.558.720
ESTI,03 Nov 2000,272.887.744
ESTI,12 Jul 2000,253.695.280
ESTI,23 Okt 1996,126.227.440
ESTI,10 Jun 1994,58.096.000
ESTI,13 Okt 1992,4.000.000
ESTI,13 Okt 1992,34.000.000
ETWA,23 Des 2021,4.668.671.400
EXCL,02 Jan 2023,13.128.430.665
FAPA,04 Jan 2021,3.629.411.800
FAST,12 Feb 2020,3.990.277.158
FASW,29 Mar 2000,2.477.888.787
FASW,20 Sep 1999,675.787.851
FASW,02 Sep 1999,450.525.234
FASW,03 Nov 1995,225.262.617
FASW,12 Sep 1995,224.647.029
FASW,19 Des 1994,47.000.000
FASW,19 Des 1994,222.000.000
FILM,07 Agt 2018,9.511.217.000
FIRE,13 Jan 2020,1.475.363.179
FISH,18 Jan 2002,80.000.000
FISH,18 Jan 2002,480.000.000
FITT,21 Jun 2022,726.130.199
FMII,28 Jul 2023,3.120.999.633
FOOD,08 Jan 2019,650.000.000
FORU,17 Jan 2005,465.224.000
FORU,16 Agt 2002,260.224.000
FORU,16 Agt 2002,260.224.000
FORU,19 Jan 2002,260.224.000
FORU,17 Jan 2002,10.224.000
FORU,14 Jan 2002,10.224.000
FPNI,29 Jan 2008,5.566.414.000
FPNI,21 Mar 2002,410.200.000
FPNI,21 Mar 2002,67.000.000
FREN,01 Sep 2023,335.388.079.593
FUJI,09 Jul 2019,1.105.000.000
GAMA,11 Jul 2012,10.005.000.000
GDST,08 Okt 2018,9.242.500.000
GDYR,14 Jul 2015,410.000.000
GEMA,13 Jul 2018,1.600.000.000
GEMS,17 Nov 2011,5.882.353.000
GGRM,04 Jun 1996,1.924.088.000
GGRM,03 Jun 1996,962.044.000
GGRM,31 Mei 1994,481.022.000
GGRM,27 Agt 1990,57.807.800
GGRM,27 Agt 1990,96.204.400
GGRP,19 Sep 2019,12.111.376.157
GHON,09 Apr 2018,550.000.000
GIAA,28 Des 2022,91.480.783.837
GJTL,20 Okt 1997,3.168.000.000
GJTL,14 Okt 1996,1.584.000.000
GJTL,11 Sep 1995,792.000.000
GJTL,11 Feb 1994,396.000.000
GJTL,02 Feb 1993,198.000.000
GJTL,29 Jul 1991,110.000.000
GJTL,27 Nov 1990,100.000.000
GJTL,25 Mei 1990,25.000.000
GJTL,08 Mei 1990,20.000.000
GLOB,10 Jul 2012,1.111.112.000
GLVA,23 Des 2019,1.500.000.000
GMFI,10 Okt 2017,28.233.511.500
GMTD,11 Des 2000,35.538.000
GMTD,11 Des 2000,101.538.000
GOLD,18 Jul 2019,1.277.276.000
GOLL,23 Des 2014,3.665.000.000
GOOD,09 Jul 2021,36.897.901.455
GPRA,10 Okt 2007,3.207.489.870
GSMF,24 Des 2021,14.230.399.705
GTBO,09 Jul 2009,2.500.000.000
GWSA,23 Des 2011,7.800.760.000
GZCO,15 Mei 2008,5.000.000.000
HADE,Tidak ada data,Tidak ada data
HDFA,30 Jul 2015,2.329.668.917
HDIT,12 Jul 2019,1.524.680.000
HEAL,16 Feb 2023,14.967.599.095
HELI,31 Mar 2021,832.862.387
HERO,05 Sep 2001,329.420.000
HERO,27 Jan 1997,235.300.000
HERO,15 Apr 1996,221.300.000
HERO,27 Jan 1994,110.650.000
HERO,10 Sep 1992,51.825.000
HERO,18 Jul 1990,22.412.500
HERO,09 Apr 1990,4.765.000
HERO,21 Agt 1989,1.765.000
HEXA,01 Sep 2005,840.000.000
HEXA,29 Jul 2002,168.000.000
HEXA,10 Jul 1998,84.000.000
HEXA,13 Feb 1995,42.000.000
HITS,27 Des 2013,4.769.532.710
HKMU,09 Okt 2018,3.221.750.000
HMSP,29 Okt 2015,4.647.310.686
HOKI,18 Feb 2021,9.677.752.680
HOMI,20 Jun 2022,1.575.000.000
HOTL,20 Des 2017,3.550.001.452
HRME,12 Apr 2019,5.958.750.000
HRTA,21 Jun 2017,4.605.262.400
HRUM,02 Jun 2022,13.518.100.000
IATA,30 Agt 2023,25.238.245.190
IBFN,22 Des 2014,3.173.720.000
IBST,23 Mei 2014,1.350.904.927
ICBP,27 Jul 2016,11.661.908.000
ICBP,07 Okt 2010,5.830.954.000
ICON,17 Feb 2014,1.089.750.000
IDPR,10 Des 2015,2.003.000.000
IFII,10 Des 2019,9.412.000.000
IFSH,05 Des 2019,2.125.000.000
IGAR,16 Agt 1995,1.050.000.000
IGAR,14 Jul 1995,52.500.000
IGAR,03 Des 1993,17.500.000
IGAR,06 Sep 1993,15.750.000
IGAR,26 Mei 1992,8.750.000
IGAR,05 Nov 1990,1.750.000
IGAR,05 Nov 1990,3.500.000
IIKP,19 Mei 2017,33.280.000.000
IKAI,28 Nov 2019,13.305.799.387
IKAN,12 Feb 2020,833.333.000
IKBI,21 Sep 2016,1.224.000.000
IKBI,23 Apr 1998,306.000.000
IKBI,08 Sep 1993,36.000.000
IKBI,01 Sep 1992,22.500.000
IKBI,21 Jan 1991,3.500.000
IKBI,21 Jan 1991,5.000.000
IMAS,18 Agt 2020,3.994.291.039
IMJS,10 Des 2013,4.325.000.000
IMPC,07 Jul 2023,54.268.500.000
INAF,26 Agt 2002,3.099.267.500
INAF,17 Apr 2001,596.875.001
INAF,17 Apr 2001,3.096.875.000
INAI,12 Feb 2014,316.800.000
INCF,06 Sep 2016,1.438.370.465
INCF,15 Jun 1998,33.600.000
INCF,05 Feb 1996,22.400.000
INCF,27 Jul 1990,11.200.000
INCF,18 Des 1989,1.200.000
INCI,27 Jul 2023,207.656.617
INCO,03 Agt 2004,993.633.872
INCO,16 Mei 1990,248.408.468
INDF,29 Sep 2007,9.444.189.000
INDF,24 Mei 2004,9.444.189.000
INDF,10 Mei 2004,9.443.308.500
INDF,28 Apr 2004,9.443.307.500
INDF,22 Apr 2004,9.443.306.500
INDF,09 Feb 2004,9.443.304.500
INDF,06 Feb 2004,9.443.295.500
INDF,12 Jul 2003,9.443.269.500
INDF,21 Mei 2003,9.386.168.500
INDF,20 Mei 2003,9.385.088.500
INDO,07 Des 2022,4.382.841.253
INDR,09 Des 1996,657.914.047
INDR,16 Okt 1995,501.649.684
INDR,08 Jun 1995,353.714.702
INDR,20 Feb 1995,328.803.189
INDR,10 Jun 1993,24.421.637
INDR,03 Agt 1990,7.000.000
INDS,30 Jul 2013,525.000.000
INDX,29 Jul 2013,437.913.588
INDY,11 Jun 2008,5.207.142.000
INKP,30 Apr 2001,5.466.649.816
INKP,22 Okt 2000,4.998.349.514
INKP,03 Sep 1997,2.630.478.104
INKP,03 Sep 1997,4.342.775.986
INKP,11 Jul 1997,2.553.532.529
INKP,03 Okt 1996,1.099.700.148
INKP,03 Okt 1996,1.183.780.497
INKP,03 Okt 1996,1.278.306.149
INKP,15 Apr 1996,952.140.384
INKP,14 Des 1995,760.845.676
INOV,10 Jul 2019,1.808.221.900
INPC,22 Des 2021,20.021.178.779
INPP,23 Jul 2015,11.181.971.732
INPS,06 Apr 2018,650.000.000
INRU,01 Jan 1994,422.076.768
INRU,10 Jun 1991,405.000.000
INRU,18 Jun 1990,270.000.000
INTA,12 Jun 2020,3.343.935.022
INTD,14 Jun 2017,591.828.000
INTP,12 Mei 2003,3.681.231.699
INTP,24 Apr 2001,3.681.223.519
INTP,09 Jan 2001,2.484.316.447
INTP,02 Sep 1996,2.414.453.320
INTP,10 Nov 1994,1.207.226.660
INTP,12 Sep 1994,697.264.531
INTP,12 Sep 1994,1.199.367.262
INTP,02 Sep 1994,97.474.511
INTP,12 Agt 1994,97.265.663
INTP,30 Mei 1994,97.253.049
IPCC,09 Jul 2018,1.818.384.820
IPCM,22 Des 2017,5.284.811.100
IPOL,09 Jul 2010,6.440.500.780
IPTV,13 Jul 2021,42.197.950.841
IRRA,15 Okt 2019,1.600.000.000
ISAT,05 Jan 2022,8.062.702.740
ISSP,22 Feb 2013,7.185.992.035
ITIC,04 Jul 2019,940.720.000
ITMA,14 Okt 2022,999.053.167
ITMG,18 Des 2007,1.129.925.000
JAST,16 Agt 2023,1.082.575.543
JAWA,30 Mei 2011,3.774.685.500
JAYA,24 Agt 2023,795.638.304
JECC,15 Sep 1997,151.200.000
JECC,16 Agt 1994,75.600.000
JECC,18 Nov 1992,10.000.000
JECC,18 Nov 1992,42.000.000
JGLE,29 Jun 2016,22.581.909.405
JIHD,Tidak ada data,Tidak ada data
JKON,22 Jul 2013,3.261.703.972
JPFA,20 Jun 2018,11.726.575.201
